;BBB I/O;Headers;
;;DB25 Connector;
IO1;P8_26;1;
IO2;P8_19;3;
IO3;P8_18;5;
IO4;P8_17;7;
IO5;P8_16;9;Encoder 2 Index
IO6;P8_15;11;
IO7;P8_14;13;
IO8;P8_13;15;
IO9;P8_12;17;Encoder 2 A
IO10;P8_11;19;Encoder 2 B
IO11;P9_23;21;
IO12;P9_26;23;PRU 1-16 (in)
IO13;P9_25;25;PRU 0-7
IO14;P9_28;2;PRU 0-3
IO15;P9_27;4;PRU 0-5
IO16;P9_30;6;PRU 0-2
IO17;P9_31;8;PRU 0-0
GND;GND;10;
GND;GND;12;
GND;GND;14;
GND;GND;16;
GND;GND;18;
GND;GND;20;
GND;GND;22;
GND;GND;24;
5V;5V;26;
;;;
;;Extension Connector;
EXT1;P8_8;1;
EXT2;P8_10;2;
EXT3;P8_7;3;
EXT4;P8_9;4;
GND;GND;5;
EXT5;P9_24;6;
EXT6;P9_22;7;
EXT7;P9_21;8;
EXT8;P9_18;9;
EXT9;P9_17;10;
EXT10;P9_16;11;
EXT11;P9_15;12;
EXT12;P9_14;13;
EXT13;P9_13;14;
EXT14;P9_12;15;
EXT15;P9_11;16;
EXT16;(P9_41);17;
EXT17;(P9_42);18;
5V;5V;19;
3V3;3V3;20;
